Weekend_Number,Show_Number,Show_Date,Song_Title,Confidence,Set_Placement
2,4,2026-04-23,Chalk Dust Torture,4,Set1
2,4,2026-04-23,Stash,4,Set2
2,4,2026-04-23,Slave to the Traffic Light,4,Set2
2,4,2026-04-23,Possum,3,Set1
2,4,2026-04-23,Julius,3,Set1
2,4,2026-04-23,Piper,3,Set2
2,4,2026-04-23,Golden Age,3,Set2
2,4,2026-04-23,Character Zero,3,Encore
2,5,2026-04-24,Fluffhead,4,Set1
2,5,2026-04-24,Sand,4,Set2
2,5,2026-04-24,Blaze On,3,Set1
2,5,2026-04-24,Fuego,3,Set1
2,5,2026-04-24,Architect,3,Set2
2,5,2026-04-24,Ruby Waves,3,Set2
2,5,2026-04-24,First Tube,3,Set2
2,5,2026-04-24,Good Times Bad Times,3,Encore
2,6,2026-04-25,Run Like an Antelope,3,Set2
2,6,2026-04-25,Undermind,3,Set1
2,6,2026-04-25,Plasma,3,Set2
2,6,2026-04-25,Sample in a Jar,3,Set1
2,6,2026-04-25,Wolfman's Brother,2,Set1
2,6,2026-04-25,Boogie On Reggae Woman,3,Set2
2,6,2026-04-25,Fee,2,Set1
2,6,2026-04-25,Cavern,3,Encore
