Weekend_Number,Show_Number,Show_Date,Song_Title,Confidence,Set_Placement
1,1,2026-04-16,Everything's Right,4,Set1
1,1,2026-04-16,Sigma Oasis,3,Set1
1,1,2026-04-16,Wolfman's Brother,4,Set1
1,1,2026-04-16,Tweezer,5,Set1
1,1,2026-04-16,Sand,4,Set1
1,1,2026-04-16,Carini,5,Set2
1,1,2026-04-16,Also Sprach Zarathustra,4,Set2
1,1,2026-04-16,Slave to the Traffic Light,3,Set2
1,1,2026-04-16,Character Zero,5,Encore
1,1,2026-04-16,Tweezer Reprise,5,Encore
1,2,2026-04-17,Buried Alive,3,Set1
1,2,2026-04-17,The Moma Dance,4,Set1
1,2,2026-04-17,Funky Bitch,3,Set1
1,2,2026-04-17,Bathtub Gin,5,Set1
1,2,2026-04-17,Free,4,Set1
1,2,2026-04-17,Ghost,5,Set2
1,2,2026-04-17,Harry Hood,5,Set2
1,2,2026-04-17,Cavern,4,Set2
1,2,2026-04-17,First Tube,4,Encore
1,3,2026-04-18,Fluffhead,4,Set1
1,3,2026-04-18,Wilson,4,Set1
1,3,2026-04-18,Chalk Dust Torture,5,Set1
1,3,2026-04-18,Divided Sky,3,Set1
1,3,2026-04-18,Mike's Song,5,Set2
1,3,2026-04-18,I Am Hydrogen,5,Set2
1,3,2026-04-18,Weekapaug Groove,5,Set2
1,3,2026-04-18,Suzy Greenberg,4,Set2
1,3,2026-04-18,Run Like an Antelope,4,Set2
1,3,2026-04-18,You Enjoy Myself,4,Encore
