Weekend_Number,Show_Number,Show_Date,Song_Title,Confidence,Set_Placement
1,1,2026-04-16,Carini,4,Set1
1,1,2026-04-16,Wolfman's Brother,4,Set1
1,1,2026-04-16,Maze,3,Set1
1,1,2026-04-16,Bathtub Gin,5,Set1
1,1,2026-04-16,Steam,3,Set1
1,1,2026-04-16,Free,4,Set1
1,1,2026-04-16,Stash,4,Set1
1,1,2026-04-16,Tube,3,Set1
1,1,2026-04-16,Back on the Train,3,Set1
1,1,2026-04-16,Theme From the Bottom,3,Set1
1,1,2026-04-16,Tweezer Reprise,4,Set1
1,1,2026-04-16,Set Your Soul Free,4,Set2
1,1,2026-04-16,Tweezer,5,Set2
1,1,2026-04-16,Ruby Waves,3,Set2
1,1,2026-04-16,Twist,3,Set2
1,1,2026-04-16,Simple,4,Set2
1,1,2026-04-16,A Wave of Hope,4,Set2
1,1,2026-04-16,Slave to the Traffic Light,4,Set2
1,1,2026-04-16,Chalk Dust Torture,4,Encore
1,2,2026-04-17,Chalk Dust Torture,4,Set1
1,2,2026-04-17,Ghost,5,Set1
1,2,2026-04-17,Possum,4,Set1
1,2,2026-04-17,Everything's Right,4,Set1
1,2,2026-04-17,Divided Sky,3,Set1
1,2,2026-04-17,Character Zero,4,Set1
1,2,2026-04-17,Harry Hood,5,Set2
1,2,2026-04-17,Sand,4,Set2
1,2,2026-04-17,You Enjoy Myself,5,Set2
1,2,2026-04-17,Mike's Song,4,Set2
1,2,2026-04-17,Weekapaug Groove,4,Set2
1,2,2026-04-17,Fluffhead,3,Set2
1,2,2026-04-17,Run Like an Antelope,4,Encore
1,3,2026-04-18,Also Sprach Zarathustra,3,Set1
1,3,2026-04-18,Down with Disease,4,Set1
1,3,2026-04-18,Blaze On,4,Set1
1,3,2026-04-18,The Moma Dance,3,Set1
1,3,2026-04-18,Prince Caspian,3,Set1
1,3,2026-04-18,AC/DC Bag,3,Set1
1,3,2026-04-18,Reba,4,Set1
1,3,2026-04-18,Farmhouse,3,Set2
1,3,2026-04-18,Piper,4,Set2
1,3,2026-04-18,Light,3,Set2
1,3,2026-04-18,David Bowie,4,Set2
1,3,2026-04-18,Wilson,3,Encore636msFast
