Weekend_Number,Show_Number,Show_Date,Song_Title,Confidence,Set_Placement
2,4,2026-04-23,Axilla Part II,4,Set1
2,4,2026-04-23,Chalk Dust Torture,5,Set1
2,4,2026-04-23,The Moma Dance,4,Set1
2,4,2026-04-23,Maze,4,Set1
2,4,2026-04-23,Plasma,3,Set1
2,4,2026-04-23,Ghost,4,Set2
2,4,2026-04-23,Waves,3,Set2
2,4,2026-04-23,Golden Age,3,Set2
2,4,2026-04-23,Twist,4,Set2
2,4,2026-04-23,First Tube,4,Set2
2,4,2026-04-23,Farmhouse,3,Encore
2,5,2026-04-24,Carini,5,Set1
2,5,2026-04-24,Back on the Train,4,Set1
2,5,2026-04-24,Piper,4,Set1
2,5,2026-04-24,Rift,3,Set1
2,5,2026-04-24,Steam,4,Set1
2,5,2026-04-24,Simple,4,Set2
2,5,2026-04-24,Light,4,Set2
2,5,2026-04-24,Ruby Waves,4,Set2
2,5,2026-04-24,No Men In No Man's Land,3,Set2
2,5,2026-04-24,The Squirming Coil,3,Encore
2,6,2026-04-25,Free,4,Set1
2,6,2026-04-25,The Sloth,3,Set1
2,6,2026-04-25,Pillow Jets,4,Set1
2,6,2026-04-25,Stash,4,Set1
2,6,2026-04-25,Evolve,3,Set1
2,6,2026-04-25,Tweezer,5,Set2
2,6,2026-04-25,Psycho Killer,2,Set2
2,6,2026-04-25,Sand,4,Set2
2,6,2026-04-25,Harry Hood,4,Set2
2,6,2026-04-25,The Mango Song,3,Encore
