Weekend_Number,Show_Number,Show_Date,Song_Title,Confidence,Set_Placement
1,1,2026-04-16,Down with Disease,5,Set1
1,1,2026-04-16,Sand,4,Set1
1,1,2026-04-16,Tube,4,Set1
1,1,2026-04-16,Ghost,5,Set2
1,1,2026-04-16,You Enjoy Myself,5,Set2
1,1,2026-04-16,Slave to the Traffic Light,4,Encore
1,2,2026-04-17,Tweezer,5,Set1
1,2,2026-04-17,Divided Sky,4,Set1
1,2,2026-04-17,Harry Hood,4,Set2
1,2,2026-04-17,Run Like an Antelope,5,Set2
1,2,2026-04-17,A Song I Heard the Ocean Sing,4,Set2
1,2,2026-04-17,Tweeprise,3,Encore
1,3,2026-04-18,Mike’s Song,5,Set1
1,3,2026-04-18,Simple,4,Set1
1,3,2026-04-18,Weekapaug Groove,5,Set1
1,3,2026-04-18,Fluffhead,5,Set2
1,3,2026-04-18,David Bowie,4,Set2
1,3,2026-04-18,Quinn the Eskimo,3,Encore
