Weekend_Number,Show_Number,Show_Date,Song_Title,Confidence,Set_Placement
2,4,2026-04-23,Set Your Soul Free,4,Set1
2,4,2026-04-23,Tube,4,
2,4,2026-04-23,Stash,4,
2,4,2026-04-23,Pillow Jets,3,
2,4,2026-04-23,Taste,3,
2,4,2026-04-23,46 Days,4,
2,4,2026-04-23,Fuego,4,Set2
2,4,2026-04-23,Golden Age,4,
2,4,2026-04-23,Say It to Me S.A.N.T.O.S.,3,Encore
2,5,2026-04-24,Plasma,4,Set1
2,5,2026-04-24,Ghost,5,
2,5,2026-04-24,Shade,2,
2,5,2026-04-24,Character Zero,3,
2,5,2026-04-24,A Wave of Hope,4,Set2
2,5,2026-04-24,Mercury,4,
2,5,2026-04-24,Ruby Waves,4,
2,5,2026-04-24,Prince Caspian,3,
2,5,2026-04-24,Slave to the Traffic Light,4,Encore
2,6,2026-04-25,Fluffhead,4,Set1
2,6,2026-04-25,Halley's Comet,4,
2,6,2026-04-25,Julius,3,
2,6,2026-04-25,My Friend, My Friend,3,
2,6,2026-04-25,Vultures,2,
2,6,2026-04-25,Waves,4,Set2
2,6,2026-04-25,Piper,3,
2,6,2026-04-25,What's the Use?,3,
2,6,2026-04-25,First Tube,3,Encore
